頁碼,標題,價格,完整內容
36,龜山幸福美3房3樓,598萬3房(室)2廳1衛20.96坪(建坪),龜山幸福美3房3樓 物件編號 CB16872 Prev Next 13 598萬3房(室)2廳1衛20.96坪(建坪) 桃園市龜山區幸福九街 公寓 41.8年 3 / 5樓 近學校近市場  稀有衛浴開窗.廚房開窗  more
36,龜山-后街商圈漂亮公寓有頂加,638萬4房(室)2廳1衛27.88坪(建坪),龜山-后街商圈漂亮公寓有頂加 物件編號 CB16824 Prev Next 12 638萬4房(室)2廳1衛27.88坪(建坪) 桃園市龜山區頂興路 公寓 45.8年 5 / 5樓 近學校近市場  後街商圈旁生活機能優  more
36,龜山-整新低樓層四房美寓,758萬4房(室)2廳2衛30.86坪(建坪),龜山-整新低樓層四房美寓 物件編號 CB16946  NEW  NEW  NEW  NEW  NEW  NEW  NEW  NEW  Prev Next 13 758萬4房(室)2廳2衛30.86坪(建坪) 桃園市龜山區幸福三街 公寓 41.7年 2 / 5樓 近學校  低樓層 全新整理 磚牆隔間  more
37,川弘雅築面公園邊間採光三房車,1888萬降價,川弘雅築面公園邊間採光三房車 物件編號 TB09461 Prev Next 11 1888萬降價 1798萬3房(室)2廳2衛34.03坪(建坪) 桃園市龜山區文七二街 華廈 23.3年 4 / 5樓 近學校  正面公園看樹梢  more
37,長庚醫護社區旁土地,1260萬1566.53坪(地坪),長庚醫護社區旁土地 物件編號 XB08861 Prev Next 11 1260萬1566.53坪(地坪) 桃園市龜山區垹坡段 土地 1 / 樓 近長庚醫院站近體育大學站近學校  位於長庚醫護社區旁  more
37,【專】龜山楓樹山莊養生佳地,2858萬475.45坪(地坪),【專】龜山楓樹山莊養生佳地 物件編號 CB16408 Prev Next 10 2858萬475.45坪(地坪) 桃園市龜山區長峰路 土地 近學校近市場  有管理的封閉社區 養生佳地  more
37,大棟山休閒農莊用地,6980萬8500.29坪(地坪),大棟山休閒農莊用地 物件編號 CB15780 Prev Next 11 6980萬8500.29坪(地坪) 桃園市龜山區新嶺一街 土地 近學校  現況有鐵皮屋 土地公有水有電  more
37,龜山忠義路旁住宅區建地,14388萬411.22坪(地坪),龜山忠義路旁住宅區建地 物件編號 CB13336 Prev Next 11 14388萬411.22坪(地坪) 桃園市龜山區忠義路一段 土地  位於忠義路旁，交通超便利  more
37,龜山工業地含建照,61500萬降價,龜山工業地含建照 物件編號 QB02409 Prev Next 6 61500萬降價 52155萬1862.71坪(地坪) 桃園市龜山區東萬壽路 土地  東萬壽30米路邊丁種工業地  more
37,龜山幸福社區三房,598萬3房(室)2廳1衛24.81坪(建坪),龜山幸福社區三房 物件編號 CB16340 Prev Next 9 598萬3房(室)2廳1衛24.81坪(建坪) 桃園市龜山區幸福一街 公寓 44.2年 4 / 5樓 近學校近市場  全新裝潢 屋況漂亮  more
37,龜山幸福美3房3樓,598萬3房(室)2廳1衛20.96坪(建坪),龜山幸福美3房3樓 物件編號 CB16872 Prev Next 13 598萬3房(室)2廳1衛20.96坪(建坪) 桃園市龜山區幸福九街 公寓 41.8年 3 / 5樓 近學校近市場  稀有衛浴開窗.廚房開窗  more
37,龜山-后街商圈漂亮公寓有頂加,638萬4房(室)2廳1衛27.88坪(建坪),龜山-后街商圈漂亮公寓有頂加 物件編號 CB16824 Prev Next 12 638萬4房(室)2廳1衛27.88坪(建坪) 桃園市龜山區頂興路 公寓 45.8年 5 / 5樓 近學校近市場  後街商圈旁生活機能優  more
37,龜山-整新低樓層四房美寓,758萬4房(室)2廳2衛30.86坪(建坪),龜山-整新低樓層四房美寓 物件編號 CB16946  NEW  NEW  NEW  NEW  NEW  NEW  NEW  NEW  Prev Next 13 758萬4房(室)2廳2衛30.86坪(建坪) 桃園市龜山區幸福三街 公寓 41.7年 2 / 5樓 近學校  低樓層 全新整理 磚牆隔間  more
38,川弘雅築面公園邊間採光三房車,1888萬降價,川弘雅築面公園邊間採光三房車 物件編號 TB09461 Prev Next 11 1888萬降價 1798萬3房(室)2廳2衛34.03坪(建坪) 桃園市龜山區文七二街 華廈 23.3年 4 / 5樓 近學校  正面公園看樹梢  more
38,長庚醫護社區旁土地,1260萬1566.53坪(地坪),長庚醫護社區旁土地 物件編號 XB08861 Prev Next 11 1260萬1566.53坪(地坪) 桃園市龜山區垹坡段 土地 1 / 樓 近長庚醫院站近體育大學站近學校  位於長庚醫護社區旁  more
38,【專】龜山楓樹山莊養生佳地,2858萬475.45坪(地坪),【專】龜山楓樹山莊養生佳地 物件編號 CB16408 Prev Next 10 2858萬475.45坪(地坪) 桃園市龜山區長峰路 土地 近學校近市場  有管理的封閉社區 養生佳地  more
38,大棟山休閒農莊用地,6980萬8500.29坪(地坪),大棟山休閒農莊用地 物件編號 CB15780 Prev Next 11 6980萬8500.29坪(地坪) 桃園市龜山區新嶺一街 土地 近學校  現況有鐵皮屋 土地公有水有電  more
38,龜山忠義路旁住宅區建地,14388萬411.22坪(地坪),龜山忠義路旁住宅區建地 物件編號 CB13336 Prev Next 11 14388萬411.22坪(地坪) 桃園市龜山區忠義路一段 土地  位於忠義路旁，交通超便利  more
38,龜山工業地含建照,61500萬降價,龜山工業地含建照 物件編號 QB02409 Prev Next 6 61500萬降價 52155萬1862.71坪(地坪) 桃園市龜山區東萬壽路 土地  東萬壽30米路邊丁種工業地  more
38,龜山幸福社區三房,598萬3房(室)2廳1衛24.81坪(建坪),龜山幸福社區三房 物件編號 CB16340 Prev Next 9 598萬3房(室)2廳1衛24.81坪(建坪) 桃園市龜山區幸福一街 公寓 44.2年 4 / 5樓 近學校近市場  全新裝潢 屋況漂亮  more
38,龜山幸福美3房3樓,598萬3房(室)2廳1衛20.96坪(建坪),龜山幸福美3房3樓 物件編號 CB16872 Prev Next 13 598萬3房(室)2廳1衛20.96坪(建坪) 桃園市龜山區幸福九街 公寓 41.8年 3 / 5樓 近學校近市場  稀有衛浴開窗.廚房開窗  more
38,龜山-后街商圈漂亮公寓有頂加,638萬4房(室)2廳1衛27.88坪(建坪),龜山-后街商圈漂亮公寓有頂加 物件編號 CB16824 Prev Next 12 638萬4房(室)2廳1衛27.88坪(建坪) 桃園市龜山區頂興路 公寓 45.8年 5 / 5樓 近學校近市場  後街商圈旁生活機能優  more
38,龜山-整新低樓層四房美寓,758萬4房(室)2廳2衛30.86坪(建坪),龜山-整新低樓層四房美寓 物件編號 CB16946  NEW  NEW  NEW  NEW  NEW  NEW  NEW  NEW  Prev Next 13 758萬4房(室)2廳2衛30.86坪(建坪) 桃園市龜山區幸福三街 公寓 41.7年 2 / 5樓 近學校  低樓層 全新整理 磚牆隔間  more
39,川弘雅築面公園邊間採光三房車,1888萬降價,川弘雅築面公園邊間採光三房車 物件編號 TB09461 Prev Next 11 1888萬降價 1798萬3房(室)2廳2衛34.03坪(建坪) 桃園市龜山區文七二街 華廈 23.3年 4 / 5樓 近學校  正面公園看樹梢  more
39,長庚醫護社區旁土地,1260萬1566.53坪(地坪),長庚醫護社區旁土地 物件編號 XB08861 Prev Next 11 1260萬1566.53坪(地坪) 桃園市龜山區垹坡段 土地 1 / 樓 近長庚醫院站近體育大學站近學校  位於長庚醫護社區旁  more
39,【專】龜山楓樹山莊養生佳地,2858萬475.45坪(地坪),【專】龜山楓樹山莊養生佳地 物件編號 CB16408 Prev Next 10 2858萬475.45坪(地坪) 桃園市龜山區長峰路 土地 近學校近市場  有管理的封閉社區 養生佳地  more
39,大棟山休閒農莊用地,6980萬8500.29坪(地坪),大棟山休閒農莊用地 物件編號 CB15780 Prev Next 11 6980萬8500.29坪(地坪) 桃園市龜山區新嶺一街 土地 近學校  現況有鐵皮屋 土地公有水有電  more
39,龜山忠義路旁住宅區建地,14388萬411.22坪(地坪),龜山忠義路旁住宅區建地 物件編號 CB13336 Prev Next 11 14388萬411.22坪(地坪) 桃園市龜山區忠義路一段 土地  位於忠義路旁，交通超便利  more
39,龜山工業地含建照,61500萬降價,龜山工業地含建照 物件編號 QB02409 Prev Next 6 61500萬降價 52155萬1862.71坪(地坪) 桃園市龜山區東萬壽路 土地  東萬壽30米路邊丁種工業地  more
39,龜山幸福社區三房,598萬3房(室)2廳1衛24.81坪(建坪),龜山幸福社區三房 物件編號 CB16340 Prev Next 9 598萬3房(室)2廳1衛24.81坪(建坪) 桃園市龜山區幸福一街 公寓 44.2年 4 / 5樓 近學校近市場  全新裝潢 屋況漂亮  more
39,龜山幸福美3房3樓,598萬3房(室)2廳1衛20.96坪(建坪),龜山幸福美3房3樓 物件編號 CB16872 Prev Next 13 598萬3房(室)2廳1衛20.96坪(建坪) 桃園市龜山區幸福九街 公寓 41.8年 3 / 5樓 近學校近市場  稀有衛浴開窗.廚房開窗  more
39,龜山-后街商圈漂亮公寓有頂加,638萬4房(室)2廳1衛27.88坪(建坪),龜山-后街商圈漂亮公寓有頂加 物件編號 CB16824 Prev Next 12 638萬4房(室)2廳1衛27.88坪(建坪) 桃園市龜山區頂興路 公寓 45.8年 5 / 5樓 近學校近市場  後街商圈旁生活機能優  more
39,龜山-整新低樓層四房美寓,758萬4房(室)2廳2衛30.86坪(建坪),龜山-整新低樓層四房美寓 物件編號 CB16946  NEW  NEW  NEW  NEW  NEW  NEW  NEW  NEW  Prev Next 13 758萬4房(室)2廳2衛30.86坪(建坪) 桃園市龜山區幸福三街 公寓 41.7年 2 / 5樓 近學校  低樓層 全新整理 磚牆隔間  more
40,川弘雅築面公園邊間採光三房車,1888萬降價,川弘雅築面公園邊間採光三房車 物件編號 TB09461 Prev Next 11 1888萬降價 1798萬3房(室)2廳2衛34.03坪(建坪) 桃園市龜山區文七二街 華廈 23.3年 4 / 5樓 近學校  正面公園看樹梢  more
40,長庚醫護社區旁土地,1260萬1566.53坪(地坪),長庚醫護社區旁土地 物件編號 XB08861 Prev Next 11 1260萬1566.53坪(地坪) 桃園市龜山區垹坡段 土地 1 / 樓 近長庚醫院站近體育大學站近學校  位於長庚醫護社區旁  more
40,【專】龜山楓樹山莊養生佳地,2858萬475.45坪(地坪),【專】龜山楓樹山莊養生佳地 物件編號 CB16408 Prev Next 10 2858萬475.45坪(地坪) 桃園市龜山區長峰路 土地 近學校近市場  有管理的封閉社區 養生佳地  more
40,大棟山休閒農莊用地,6980萬8500.29坪(地坪),大棟山休閒農莊用地 物件編號 CB15780 Prev Next 11 6980萬8500.29坪(地坪) 桃園市龜山區新嶺一街 土地 近學校  現況有鐵皮屋 土地公有水有電  more
40,龜山忠義路旁住宅區建地,14388萬411.22坪(地坪),龜山忠義路旁住宅區建地 物件編號 CB13336 Prev Next 11 14388萬411.22坪(地坪) 桃園市龜山區忠義路一段 土地  位於忠義路旁，交通超便利  more
40,龜山工業地含建照,61500萬降價,龜山工業地含建照 物件編號 QB02409 Prev Next 6 61500萬降價 52155萬1862.71坪(地坪) 桃園市龜山區東萬壽路 土地  東萬壽30米路邊丁種工業地  more
40,龜山幸福社區三房,598萬3房(室)2廳1衛24.81坪(建坪),龜山幸福社區三房 物件編號 CB16340 Prev Next 9 598萬3房(室)2廳1衛24.81坪(建坪) 桃園市龜山區幸福一街 公寓 44.2年 4 / 5樓 近學校近市場  全新裝潢 屋況漂亮  more
40,龜山幸福美3房3樓,598萬3房(室)2廳1衛20.96坪(建坪),龜山幸福美3房3樓 物件編號 CB16872 Prev Next 13 598萬3房(室)2廳1衛20.96坪(建坪) 桃園市龜山區幸福九街 公寓 41.8年 3 / 5樓 近學校近市場  稀有衛浴開窗.廚房開窗  more
40,龜山-后街商圈漂亮公寓有頂加,638萬4房(室)2廳1衛27.88坪(建坪),龜山-后街商圈漂亮公寓有頂加 物件編號 CB16824 Prev Next 12 638萬4房(室)2廳1衛27.88坪(建坪) 桃園市龜山區頂興路 公寓 45.8年 5 / 5樓 近學校近市場  後街商圈旁生活機能優  more
40,龜山-整新低樓層四房美寓,758萬4房(室)2廳2衛30.86坪(建坪),龜山-整新低樓層四房美寓 物件編號 CB16946  NEW  NEW  NEW  NEW  NEW  NEW  NEW  NEW  Prev Next 13 758萬4房(室)2廳2衛30.86坪(建坪) 桃園市龜山區幸福三街 公寓 41.7年 2 / 5樓 近學校  低樓層 全新整理 磚牆隔間  more
41,川弘雅築面公園邊間採光三房車,1888萬降價,川弘雅築面公園邊間採光三房車 物件編號 TB09461 Prev Next 11 1888萬降價 1798萬3房(室)2廳2衛34.03坪(建坪) 桃園市龜山區文七二街 華廈 23.3年 4 / 5樓 近學校  正面公園看樹梢  more
41,長庚醫護社區旁土地,1260萬1566.53坪(地坪),長庚醫護社區旁土地 物件編號 XB08861 Prev Next 11 1260萬1566.53坪(地坪) 桃園市龜山區垹坡段 土地 1 / 樓 近長庚醫院站近體育大學站近學校  位於長庚醫護社區旁  more
41,【專】龜山楓樹山莊養生佳地,2858萬475.45坪(地坪),【專】龜山楓樹山莊養生佳地 物件編號 CB16408 Prev Next 10 2858萬475.45坪(地坪) 桃園市龜山區長峰路 土地 近學校近市場  有管理的封閉社區 養生佳地  more
41,大棟山休閒農莊用地,6980萬8500.29坪(地坪),大棟山休閒農莊用地 物件編號 CB15780 Prev Next 11 6980萬8500.29坪(地坪) 桃園市龜山區新嶺一街 土地 近學校  現況有鐵皮屋 土地公有水有電  more
41,龜山忠義路旁住宅區建地,14388萬411.22坪(地坪),龜山忠義路旁住宅區建地 物件編號 CB13336 Prev Next 11 14388萬411.22坪(地坪) 桃園市龜山區忠義路一段 土地  位於忠義路旁，交通超便利  more
41,龜山工業地含建照,61500萬降價,龜山工業地含建照 物件編號 QB02409 Prev Next 6 61500萬降價 52155萬1862.71坪(地坪) 桃園市龜山區東萬壽路 土地  東萬壽30米路邊丁種工業地  more
41,龜山幸福社區三房,598萬3房(室)2廳1衛24.81坪(建坪),龜山幸福社區三房 物件編號 CB16340 Prev Next 9 598萬3房(室)2廳1衛24.81坪(建坪) 桃園市龜山區幸福一街 公寓 44.2年 4 / 5樓 近學校近市場  全新裝潢 屋況漂亮  more
41,龜山幸福美3房3樓,598萬3房(室)2廳1衛20.96坪(建坪),龜山幸福美3房3樓 物件編號 CB16872 Prev Next 13 598萬3房(室)2廳1衛20.96坪(建坪) 桃園市龜山區幸福九街 公寓 41.8年 3 / 5樓 近學校近市場  稀有衛浴開窗.廚房開窗  more
41,龜山-后街商圈漂亮公寓有頂加,638萬4房(室)2廳1衛27.88坪(建坪),龜山-后街商圈漂亮公寓有頂加 物件編號 CB16824 Prev Next 12 638萬4房(室)2廳1衛27.88坪(建坪) 桃園市龜山區頂興路 公寓 45.8年 5 / 5樓 近學校近市場  後街商圈旁生活機能優  more
41,龜山-整新低樓層四房美寓,758萬4房(室)2廳2衛30.86坪(建坪),龜山-整新低樓層四房美寓 物件編號 CB16946  NEW  NEW  NEW  NEW  NEW  NEW  NEW  NEW  Prev Next 13 758萬4房(室)2廳2衛30.86坪(建坪) 桃園市龜山區幸福三街 公寓 41.7年 2 / 5樓 近學校  低樓層 全新整理 磚牆隔間  more
42,川弘雅築面公園邊間採光三房車,1888萬降價,川弘雅築面公園邊間採光三房車 物件編號 TB09461 Prev Next 11 1888萬降價 1798萬3房(室)2廳2衛34.03坪(建坪) 桃園市龜山區文七二街 華廈 23.3年 4 / 5樓 近學校  正面公園看樹梢  more
42,長庚醫護社區旁土地,1260萬1566.53坪(地坪),長庚醫護社區旁土地 物件編號 XB08861 Prev Next 11 1260萬1566.53坪(地坪) 桃園市龜山區垹坡段 土地 1 / 樓 近長庚醫院站近體育大學站近學校  位於長庚醫護社區旁  more
42,【專】龜山楓樹山莊養生佳地,2858萬475.45坪(地坪),【專】龜山楓樹山莊養生佳地 物件編號 CB16408 Prev Next 10 2858萬475.45坪(地坪) 桃園市龜山區長峰路 土地 近學校近市場  有管理的封閉社區 養生佳地  more
42,大棟山休閒農莊用地,6980萬8500.29坪(地坪),大棟山休閒農莊用地 物件編號 CB15780 Prev Next 11 6980萬8500.29坪(地坪) 桃園市龜山區新嶺一街 土地 近學校  現況有鐵皮屋 土地公有水有電  more
42,龜山忠義路旁住宅區建地,14388萬411.22坪(地坪),龜山忠義路旁住宅區建地 物件編號 CB13336 Prev Next 11 14388萬411.22坪(地坪) 桃園市龜山區忠義路一段 土地  位於忠義路旁，交通超便利  more
42,龜山工業地含建照,61500萬降價,龜山工業地含建照 物件編號 QB02409 Prev Next 6 61500萬降價 52155萬1862.71坪(地坪) 桃園市龜山區東萬壽路 土地  東萬壽30米路邊丁種工業地  more
42,龜山幸福社區三房,598萬3房(室)2廳1衛24.81坪(建坪),龜山幸福社區三房 物件編號 CB16340 Prev Next 9 598萬3房(室)2廳1衛24.81坪(建坪) 桃園市龜山區幸福一街 公寓 44.2年 4 / 5樓 近學校近市場  全新裝潢 屋況漂亮  more
42,龜山幸福美3房3樓,598萬3房(室)2廳1衛20.96坪(建坪),龜山幸福美3房3樓 物件編號 CB16872 Prev Next 13 598萬3房(室)2廳1衛20.96坪(建坪) 桃園市龜山區幸福九街 公寓 41.8年 3 / 5樓 近學校近市場  稀有衛浴開窗.廚房開窗  more
42,龜山-后街商圈漂亮公寓有頂加,638萬4房(室)2廳1衛27.88坪(建坪),龜山-后街商圈漂亮公寓有頂加 物件編號 CB16824 Prev Next 12 638萬4房(室)2廳1衛27.88坪(建坪) 桃園市龜山區頂興路 公寓 45.8年 5 / 5樓 近學校近市場  後街商圈旁生活機能優  more
42,龜山-整新低樓層四房美寓,758萬4房(室)2廳2衛30.86坪(建坪),龜山-整新低樓層四房美寓 物件編號 CB16946  NEW  NEW  NEW  NEW  NEW  NEW  NEW  NEW  Prev Next 13 758萬4房(室)2廳2衛30.86坪(建坪) 桃園市龜山區幸福三街 公寓 41.7年 2 / 5樓 近學校  低樓層 全新整理 磚牆隔間  more
43,川弘雅築面公園邊間採光三房車,1888萬降價,川弘雅築面公園邊間採光三房車 物件編號 TB09461 Prev Next 11 1888萬降價 1798萬3房(室)2廳2衛34.03坪(建坪) 桃園市龜山區文七二街 華廈 23.3年 4 / 5樓 近學校  正面公園看樹梢  more
43,長庚醫護社區旁土地,1260萬1566.53坪(地坪),長庚醫護社區旁土地 物件編號 XB08861 Prev Next 11 1260萬1566.53坪(地坪) 桃園市龜山區垹坡段 土地 1 / 樓 近長庚醫院站近體育大學站近學校  位於長庚醫護社區旁  more
